"Date","Month","Year","Site.Name","COUNTY","meanlatitude","meanlongitude","PM2.5","Ozone"
2-10-20,10,2,"Linville Falls","Avery",35.972347,-81.933072,14,NA
2-10-20,10,2,"Mendenhall School","Guilford",36.1090060008986,-79.802314,39,NA
2-10-20,10,2,"Millbrook School","Wake",35.856111,-78.574167,40,27
2-10-20,10,2,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,23,NA
2-10-20,10,2,"West Johnston Co.","Johnston",35.59095,-78.4622,31.5,NA
2-11-20,11,2,"Bryson City","Swain",35.434767,-83.442133,25,NA
2-11-20,11,2,"Castle Hayne","New Hanover",34.364167,-77.838611,13,21
2-11-20,11,2,"Clemmons Middle","Forsyth",36.026,-80.342,19,NA
2-11-20,11,2,"Durham Armory","Durham",36.0329550008979,-78.904037,31,24
2-11-20,11,2,"Frying Pan Mountain","Haywood",35.379167,-82.7925,3,34
2-11-20,11,2,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,32.25,19
2-11-20,11,2,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,32.6666666666667,NA
2-11-20,11,2,"Leggett","Edgecombe",35.988278,-77.5843,14,27
2-11-20,11,2,"Linville Falls","Avery",35.972347,-81.933072,10,NA
2-11-20,11,2,"Mendenhall School","Guilford",36.1090060008986,-79.802314,27,NA
2-11-20,11,2,"Millbrook School","Wake",35.856111,-78.574167,36,22
2-11-20,11,2,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,16,NA
2-11-20,11,2,"West Johnston Co.","Johnston",35.59095,-78.4622,25.5,NA
2-12-20,12,2,"Bryson City","Swain",35.434767,-83.442133,11.5,NA
2-12-20,12,2,"Castle Hayne","New Hanover",34.364167,-77.838611,1,31
2-12-20,12,2,"Clemmons Middle","Forsyth",36.026,-80.342,14.5,NA
2-12-20,12,2,"Durham Armory","Durham",36.0329550008979,-78.904037,18,22
2-12-20,12,2,"Frying Pan Mountain","Haywood",35.379167,-82.7925,NA,45
2-12-20,12,2,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,10.3333333333333,21
2-12-20,12,2,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,13.5,NA
2-12-20,12,2,"Leggett","Edgecombe",35.988278,-77.5843,8,25
2-12-20,12,2,"Mendenhall School","Guilford",36.1090060008986,-79.802314,9,NA
2-12-20,12,2,"Millbrook School","Wake",35.856111,-78.574167,24.6666666666667,24.5
2-12-20,12,2,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,15.3333333333333,NA
2-12-20,12,2,"West Johnston Co.","Johnston",35.59095,-78.4622,14.5,NA
3-01-20,1,3,"Bryson City","Swain",35.434767,-83.442133,35,30.5
3-01-20,1,3,"Castle Hayne","New Hanover",34.364167,-77.838611,16,34
3-01-20,1,3,"Clemmons Middle","Forsyth",36.026,-80.342,35.5,31.5
3-01-20,1,3,"Durham Armory","Durham",36.0329550008979,-78.904037,36.6666666666667,31
3-01-20,1,3,"Frying Pan Mountain","Haywood",35.379167,-82.7925,NA,39
3-01-20,1,3,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,26.5,27.5
3-01-20,1,3,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,25,32.5
3-01-20,1,3,"Leggett","Edgecombe",35.988278,-77.5843,27.5,29
3-01-20,1,3,"Linville Falls","Avery",35.972347,-81.933072,NA,33.5
3-01-20,1,3,"Mendenhall School","Guilford",36.1090060008986,-79.802314,26,33.5
3-01-20,1,3,"Millbrook School","Wake",35.856111,-78.574167,39.75,30
3-01-20,1,3,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,27,30
3-01-20,1,3,"West Johnston Co.","Johnston",35.59095,-78.4622,35,29.5
3-02-20,2,3,"Bryson City","Swain",35.434767,-83.442133,19.5,37.5
3-02-20,2,3,"Castle Hayne","New Hanover",34.364167,-77.838611,8,35
3-02-20,2,3,"Clemmons Middle","Forsyth",36.026,-80.342,21.5,36.5
3-02-20,2,3,"Durham Armory","Durham",36.0329550008979,-78.904037,23.5,37.5
